id,title,date,journal
1,"a 44-year-old man with erythema of the face diphenhydramine, neck, and chest, weakness, and palpitations",01/01/2019,Journal of emergency nursing
2,"an evaluation of benadryl, pyribenzamine, and other so-called diphenhydramine antihistaminic drugs in the treatment of allergy.",01/01/2019,Journal of emergency nursing
3,diphenhydramine hydrochloride helps symptoms of ciguatera fish poisoning.,02/01/2019,The Journal of pediatrics
4,tetracycline resistance patterns of lactobacillus buchneri group strains.,01/01/2020,Journal of food protection
5,appositional tetracycline bone formation rates in the beagle.,02/01/2020,American journal of veterinary research
6,"rapid reacquisition of contextual fear following extinction in mice: effects of amount of extinction, tetracycline acute ethanol withdrawal, and ethanol intoxication.",2020-01-01,Psychopharmacology
7,the high cost of epinephrine autoinjectors and possible alternatives.,01/02/2020,The journal of allergy and clinical immunology. In practice
8,time to epinephrine treatment is associated with the risk of mortality in children who achieve sustained rosc after traumatic out-of-hospital cardiac arrest.,01/03/2020,The journal of allergy and clinical immunology. In practice
9,gold nanoparticles synthesized from euphorbia fischeriana root by green route method alleviates the isoprenaline hydrochloride induced myocardial infarction in rats.,01/01/2020,"Journal of photochemistry and photobiology. B, Biology"
10,clinical implications of umbilical artery doppler changes after betamethasone administration,01/01/2020,The journal of maternal-fetal & neonatal medicine
11,effects of topical application of betamethasone on imiquimod-induced psoriasis-like skin inflammation in mice.,01/01/2020,Journal of back and musculoskeletal rehabilitation
12,"comparison of pressure release, phonophoresis and dry needling in treatment of latent myofascial trigger point of upper trapezius muscle.",01/03/2020,Journal of back and musculoskeletal rehabilitation
